user	friendto
55	114
46	148
31	51
179	135
37	110
37	168
148	96
116	126
88	162
187	200
11	103
198	127
31	60
194	46
118	117
135	57
58	36
150	12
31	119
28	99
3	108
45	42
54	97
36	19
181	102
169	41
120	111
39	60
53	109
53	56
200	101
47	132
27	144
103	20
132	152
99	21
102	150
84	132
26	175
131	61
67	59
146	77
39	111
134	19
169	14
177	163
22	102
6	110
44	37
141	90
20	122
6	121
106	7
81	105
2	144
89	72
112	50
149	91
177	5
163	70
44	167
188	80
136	98
108	7
133	66
35	42
35	6
85	188
193	18
190	34
83	125
2	90
27	78
33	26
75	157
97	142
115	146
124	128
125	189
150	70
115	129
12	156
200	63
175	124
193	79
170	116
17	66
136	97
21	35
133	104
51	9
55	198
179	102
52	200
141	64
146	67
140	40
119	84
89	78
154	13
70	24
171	81
33	94
188	193
156	82
72	180
193	94
145	39
80	189
44	166
75	193
118	72
67	83
38	141
83	19
128	121
171	81
6	181
153	118
142	185
1	184
199	107
181	30
136	24
15	73
69	55
41	100
145	4
196	50
181	47
129	81
113	70
186	197
200	193
150	1
162	118
32	119
192	147
40	173
193	145
68	34
146	87
199	44
20	167
177	138
25	184
37	161
6	102
33	142
147	24
128	104
44	105
93	100
132	65
76	21
146	186
181	33
180	74
100	149
150	18
32	105
21	42
20	62
128	77
38	88
10	179
110	11
166	66
66	78
21	148
35	177
67	54
124	58
147	69
78	34
65	200
102	42
173	142
3	76
15	197
102	198
42	157
87	199
173	39
31	4
145	45
134	5
8	156
95	135
139	68
99	53
54	58
176	59
178	124
169	112
70	174
69	37
180	149
47	117
46	199
30	110
86	107
94	75
68	56
28	106
179	188
56	118
101	44
129	73
52	23
165	38
106	56
91	152
33	27
166	148
27	91
20	138
165	34
146	106
2	5
159	142
35	131
112	105
165	144
26	27
190	177
98	142
196	35
169	166
10	102
29	62
197	183
159	199
180	143
64	8
119	160
89	77
26	62
167	115
111	73
179	92
78	6
177	28
151	89
125	118
163	50
167	84
197	129
56	28
136	172
82	34
172	136
197	130
67	73
144	95
67	182
34	194
198	108
143	128
107	133
134	133
156	56
164	186
173	19
157	135
43	182
42	141
144	159
170	58
17	156
92	133
148	109
1	61
105	161
92	10
54	163
172	97
55	16
119	195
190	89
127	101
34	1
89	82
128	23
138	128
74	116
100	200
127	185
132	8
172	122
35	65
26	40
69	85
129	132
10	155
23	162
60	52
118	101
6	74
181	128
146	74
140	20
93	21
67	126
171	136
31	77
189	111
67	114
23	196
95	178
178	60
101	188
31	66
199	49
90	194
9	145
187	165
132	183
44	101
102	13
138	198
46	8
154	90
169	46
16	49
158	104
23	179
74	200
82	163
37	142
47	126
87	18
195	84
83	65
77	42
121	87
42	137
23	176
156	28
185	84
79	40
100	74
197	21
14	133
91	121
20	56
186	143
75	128
47	137
66	36
19	117
103	18
122	47
196	180
113	139
122	139
125	160
96	180
155	22
48	169
110	141
52	159
93	97
47	36
119	134
47	166
69	104
64	1
62	130
60	109
161	135
159	154
175	40
194	43
50	164
55	117
91	1
75	13
72	84
198	104
51	74
33	195
115	11
77	17
158	116
151	37
111	134
178	58
135	73
3	85
80	121
12	75
93	84
157	85
39	102
33	45
101	16
5	148
101	182
8	181
44	50
30	42
138	116
77	164
80	54
199	67
154	156
1	76
139	131
107	117
76	54
150	178
50	25
68	144
165	197
29	162
135	48
193	110
134	79
3	70
199	146
153	70
128	119
75	68
106	20
65	200
84	162
47	121
183	48
111	199
193	14
176	49
90	98
179	69
111	74
118	91
74	60
36	135
33	84
19	21
168	90
34	9
193	111
33	104
99	138
187	75
166	106
114	43
178	171
22	86
51	13
67	173
186	146
149	108
33	134
6	33
126	128
39	18
185	59
140	169
156	164
116	154
107	38
73	123
50	27
59	166
77	84
49	1
175	72
64	60
28	92
115	144
86	103
90	133
96	149
47	99
120	170
188	149
99	154
31	91
180	100
9	150
49	154
20	124
200	155
153	115
190	68
130	103
182	175
62	115
3	36
149	153
101	111
58	122
149	109
150	41
194	12
122	158
123	102
118	27
197	98
108	136
169	142
134	103
153	186
191	152
181	102
158	193
50	62
142	100
72	187
46	104
199	31
38	77
31	167
193	156
56	84
77	165
15	31
9	37
78	181
51	14
199	140
164	135
188	19
134	120
113	101
190	131
66	60
153	168
41	16
21	86
186	196
129	90
11	138
125	50
72	104
87	39
154	116
8	145
26	134
181	51
150	94
184	95
96	77
5	44
27	69
183	169
153	63
54	19
178	109
163	61
35	83
155	86
113	80
131	69
39	182
115	116
26	50
6	118
182	15
139	145
147	58
181	109
181	74
103	161
64	152
8	91
80	180
158	150
33	167
54	157
81	122
183	148
143	10
76	178
116	34
170	26
56	8
75	158
57	31
200	107
123	182
178	7
111	106
113	183
134	73
72	185
17	118
39	5
60	150
138	57
60	181
170	46
144	139
32	112
82	89
41	22
125	60
172	179
188	112
146	56
75	55
9	34
43	168
130	90
193	59
6	63
140	43
87	68
106	163
94	79
53	111
90	79
162	47
170	41
194	167
65	31
42	96
177	17
153	192
126	52
40	26
39	71
200	47
47	143
126	78
61	49
31	65
109	64
37	99
119	155
47	175
146	80
82	157
66	82
43	167
191	93
31	10
102	46
187	121
179	106
10	140
33	180
105	142
93	63
27	176
115	191
71	182
153	183
40	38
159	93
160	1
130	186
91	25
13	77
65	22
197	58
136	96
155	152
131	51
2	137
18	181
34	13
5	86
14	36
48	125
104	32
127	37
123	92
37	38
168	195
198	108
151	163
100	147
3	185
178	13
108	75
171	184
134	60
81	55
55	104
71	152
115	165
54	177
199	176
8	164
21	62
101	161
151	128
159	166
82	5
18	81
41	113
54	40
166	66
136	179
194	100
34	143
87	161
6	80
24	96
74	155
37	88
103	182
95	96
31	104
48	161
142	31
189	75
85	155
114	163
168	7
174	171
89	36
144	148
141	26
155	11
163	97
33	114
9	35
116	83
15	26
66	97
44	198
117	86
74	138
69	134
28	166
73	103
97	19
193	83
128	61
81	185
148	31
128	86
117	72
80	140
162	8
58	59
154	100
119	137
101	56
110	157
110	100
179	85
44	75
17	116
70	79
82	146
17	165
124	115
139	85
107	173
164	23
112	56
81	179
83	29
78	10
143	3
79	7
42	108
57	70
200	2
49	71
114	84
69	123
54	109
188	179
132	150
147	166
47	106
196	77
165	173
141	112
137	34
168	175
126	45
138	2
76	60
83	75
50	33
191	55
11	23
62	83
20	191
11	157
157	139
3	133
197	169
23	47
114	125
103	26
105	18
24	25
165	72
123	107
15	169
45	158
65	101
168	56
19	167
179	148
59	174
176	93
193	162
68	120
100	48
123	172
180	112
117	123
125	196
166	120
14	38
136	167
79	98
100	182
76	75
161	36
15	128
135	125
146	165
73	19
194	196
19	84
148	37
83	74
195	196
126	83
179	79
118	10
135	143
22	181
164	47
71	9
17	53
75	65
31	36
136	126
118	45
86	171
109	170
98	13
187	71
14	191
183	162
157	95
101	73
80	118
147	134
49	2
111	56
169	159
168	138
182	189
122	137
18	98
162	122
90	94
157	53
49	29
114	63
67	100
129	26
72	106
119	37
48	162
13	137
122	176
71	26
183	194
148	174
150	134
179	35
91	13
47	56
54	65
136	69
170	22
73	157
156	59
165	113
182	121
22	156
117	112
125	92
71	120
70	55
194	96
110	149
54	12
172	102
53	129
148	17
51	189
191	175
194	30
49	193
89	119
19	52
117	185
74	10
28	36
122	126
164	163
21	152
36	103
55	65
110	159
10	127
28	192
184	112
88	131
54	170
178	106
119	8
76	26
36	96
130	144
97	30
39	185
179	53
21	61
22	19
168	163
171	76
101	5
177	122
69	83
97	134
120	126
200	119
47	18
49	144
10	175
136	200
2	145
188	96
90	190
32	124
67	189
128	184
184	168
4	21
84	47
59	13
128	47
192	35
26	77
24	191
146	13
170	183
120	200
108	121
123	118
102	51
47	101
138	107
68	81
140	59
179	91
172	149
198	96
87	183
80	9
156	200
68	183
66	132
151	34
94	199
108	30
94	168
122	175
190	79
88	28
8	183
180	35
181	136
15	14
121	169
20	22
9	65
143	54
118	42
5	162
191	134
110	112
106	138
111	16
2	143
68	182
159	71
37	62
26	118
36	3
49	107
82	187
142	66
39	66
155	132
79	76
61	4
176	146
44	110
105	71
52	70
69	30
64	65
148	130
7	98
180	192
151	189
130	11
51	189
118	60
78	161
143	1
24	109
175	157
165	136
19	150
169	20
66	71
138	7
182	38
182	2
172	119
169	118
89	36
149	171
167	82
8	114
82	58
95	136
73	45
87	127
165	126
76	90
165	83
7	171
8	50
45	69
151	46
36	115
184	126
151	169
54	135
198	154
139	57
171	195
3	64
104	15
100	30
14	13
87	22
152	17
5	125
169	2
67	184
57	155
151	96
138	158
85	18
87	80
67	161
82	191
96	190
56	99
96	74
102	141
200	127
75	185
17	56
122	130
94	181
183	5
164	147
124	107
20	192
48	118
15	63
189	64
50	98
19	68
41	145
115	19
181	47
93	123
176	127
183	97
93	129
89	135
141	5
142	141
28	19
148	150
70	119
53	183
59	20
181	54
15	33
112	79
70	7
156	130
194	49
71	35
31	47
141	53
52	161
13	13
122	176
13	175
163	53
28	9
166	124
10	144
47	159
59	77
189	137
192	187
84	122
22	52
118	125
69	17
65	106
112	133
47	91
1	71
112	94
171	69
190	143
43	130
22	126
73	70
173	169
70	156
31	186
199	131
121	108
192	131
6	1
52	96
47	66
142	88
145	134
166	108
45	8
178	193
20	147
74	147
84	43
151	89
38	144
181	103
67	59
38	72
109	119
94	131
66	95
52	169
42	183
16	90
23	143
22	137
146	88
149	88
128	133
163	12
191	89
36	108
86	120
91	27
106	78
12	80
58	113
